Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
35.28,0.0684,0.6514,-0.7964,-0.08,0.63,-0.29
35.38,0.0715,0.6594,-0.8083,-0.32,0.53,-0.31
35.49,0.0698,0.6560,-0.8132,-0.30,0.63,-0.21
35.59,0.0686,0.6558,-0.8098,-0.18,0.62,-0.43
35.70,0.0706,0.6584,-0.8076,-0.24,0.84,-0.44
35.80,0.0725,0.6550,-0.8032,-0.21,0.58,-0.29
35.91,0.0752,0.6570,-0.8020,-0.24,0.50,-0.46
36.01,0.0713,0.6599,-0.8062,-0.15,0.72,-0.47
36.12,0.0718,0.6545,-0.8093,1.92,0.58,-0.36
36.22,0.0720,0.6545,-0.8074,-0.21,0.62,-0.31
36.33,0.0686,0.6643,-0.8020,-0.11,0.50,-0.50
36.44,0.0684,0.6567,-0.8059,-0.08,0.65,-0.43
36.54,0.0693,0.6592,-0.8027,-0.29,0.75,-0.36
36.65,0.0718,0.6550,-0.8064,-0.18,0.58,-0.57
36.75,0.0703,0.6562,-0.7991,-0.11,0.47,-0.37
36.86,0.0701,0.6577,-0.8074,-0.21,0.26,-0.47
36.96,0.0715,0.6714,-0.7896,-0.21,0.82,-0.28
37.07,0.0745,0.6567,-0.8093,-0.25,0.67,-0.45
37.17,0.0759,0.6584,-0.7983,-0.34,0.56,-0.34
37.28,0.0701,0.6572,-0.8010,-0.18,0.71,-0.34
37.39,0.0713,0.6550,-0.8054,-0.18,0.32,-0.45
37.49,0.0776,0.6570,-0.8018,-0.24,0.62,-0.51
37.60,0.0667,0.6711,-0.8054,-0.11,0.64,-0.37
37.70,0.0767,0.6562,-0.8049,-0.19,0.73,-0.44
37.81,0.0771,0.6592,-0.8081,-0.22,0.46,-0.55
37.91,0.0713,0.6624,-0.7976,-0.22,0.67,-0.18
38.02,0.0715,0.6560,-0.8083,-0.17,0.59,-0.15
38.12,0.0730,0.6599,-0.8030,-0.29,0.59,-0.41
38.23,0.0662,0.6433,-0.8110,-0.11,0.59,-0.44
38.33,0.0698,0.6616,-0.8025,-0.21,0.47,-0.33
38.44,0.0708,0.6594,-0.8049,-0.22,0.45,-0.60
38.55,0.0696,0.6592,-0.8174,-0.35,0.40,-0.41
38.65,0.0757,0.6572,-0.8059,0.02,0.44,-0.56
38.76,0.0664,0.6570,-0.8064,-0.27,0.57,-0.32
38.86,0.0720,0.6587,-0.8132,-0.22,0.83,-0.44
38.97,0.0779,0.6584,-0.8113,-0.37,0.44,-0.28
39.07,0.0759,0.6562,-0.8057,-0.14,0.34,-0.43
39.18,0.0703,0.6528,-0.8003,0.05,0.50,-0.47
39.28,0.0554,0.6460,-0.7839,-0.40,0.67,-0.16
39.39,0.0715,0.6614,-0.7998,-0.08,0.69,-0.47
39.50,0.0669,0.6599,-0.8059,-0.10,0.46,-0.28
39.60,0.0742,0.6431,-0.8008,1.92,0.76,-0.37
39.71,0.0693,0.6543,-0.8081,-0.18,0.76,-0.36
39.81,0.0686,0.6604,-0.7971,-0.27,0.48,-0.58
39.92,0.0732,0.6592,-0.8123,-0.34,0.73,-0.34
40.02,0.0732,0.6553,-0.7998,-0.20,0.86,-0.38
40.13,0.0718,0.6428,-0.8025,-1.92,0.71,-0.43
40.23,0.0745,0.6646,-0.8118,-0.01,0.66,-0.44
40.34,0.0759,0.6565,-0.8076,-0.11,0.80,-0.32
40.44,0.0625,0.6558,-0.8042,-0.13,0.10,-0.42
40.55,0.0676,0.6584,-0.8140,-0.13,0.53,-0.29
40.66,0.0686,0.6643,-0.8015,-0.30,0.90,-0.37
40.76,0.0757,0.6707,-0.8118,-1.91,0.60,-0.62
40.87,0.0715,0.6470,-0.8015,-0.09,0.60,-0.47
40.97,0.0708,0.6599,-0.8044,-0.12,0.83,-0.41
41.08,0.0703,0.6548,-0.8032,-1.95,0.51,-0.34
41.18,0.0696,0.6694,-0.8076,-0.15,0.42,-0.42
41.29,0.0688,0.6606,-0.8069,-0.19,0.66,-0.32
41.39,0.0640,0.6521,-0.8054,-0.09,0.40,-0.53
41.50,0.0691,0.6675,-0.8069,-0.22,0.37,-0.44
41.60,0.0667,0.6580,-0.8064,-0.24,0.65,-0.37
41.71,0.0725,0.6714,-0.8118,-0.09,0.61,-0.44
41.82,0.0691,0.6555,-0.8083,-0.18,0.35,-0.51
41.92,0.0701,0.6624,-0.8093,-0.26,0.62,-0.30
42.03,0.0696,0.6572,-0.8088,-1.95,0.52,-0.47
42.13,0.0691,0.6582,-0.8049,-0.07,0.51,-0.53
42.24,0.0676,0.6570,-0.8225,-0.09,0.68,-0.41
42.34,0.0649,0.6599,-0.8057,-0.18,0.56,-0.37
42.45,0.0740,0.6680,-0.8123,-0.18,0.83,-0.30
42.55,0.0698,0.6592,-0.7971,-1.95,0.69,-0.38
42.66,0.0703,0.6570,-0.7993,-0.21,0.71,-0.30
